product_id,shop_id,shop_name,title,category_id,category_name,description,platform,site,source_type,currency,price,cost,shipping_cost,sales_count,rating,review_count,favorite_count,status,created_at,updated_at,collected_at,is_mock_data
PROD0001,SHOP001,Demo Singapore Smart Store,USB-C Hub Essential 001,CAT001,Consumer Electronics,Multi-port hub for laptop and tablet workflows,MockShopee,Singapore,simulated_experiment,SGD,11.02,6.74,0.58,165,3.68,19,23,active,2025-07-31T10:00:00+08:00,2026-06-20T19:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0002,SHOP002,Demo Malaysia Smart Store,Microfiber Towel Set Plus 002,CAT002,Home & Living,Soft quick-dry towels for home and travel,MockShopee,Malaysia,simulated_experiment,MYR,56.87,27.50,4.06,257,4.33,15,89,active,2025-04-22T01:00:00+08:00,2026-06-19T21:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0003,SHOP003,Demo Philippines Smart Store,Hair Styling Brush Compact 003,CAT003,Beauty & Personal Care,Heated styling brush with adjustable temperature,MockShopee,Philippines,simulated_experiment,PHP,1231.00,688.19,147.56,115,3.92,12,33,active,2026-01-29T18:00:00+08:00,2026-06-24T04:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0004,SHOP004,Demo Thailand Smart Store,Polarized Sunglasses Premium 004,CAT004,Fashion Accessories,UV400 polarized lenses in a lightweight frame,MockShopee,Thailand,simulated_experiment,THB,1749.00,1032.03,141.59,260,2.91,11,90,active,2025-08-05T01:00:00+08:00,2026-06-26T21:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0005,SHOP005,Demo Vietnam Smart Store,Yoga Mat Compact 005,CAT005,Sports & Outdoors,Non-slip exercise mat with carrying strap,MockShopee,Vietnam,simulated_experiment,VND,567000.00,271789.30,67618.84,204,3.80,5,24,active,2026-03-27T03:00:00+08:00,2026-06-26T22:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0006,SHOP006,Demo Indonesia Smart Store,Portable Pet Bottle Everyday 006,CAT006,Pet Supplies,Leak-resistant water bottle for outdoor walks,MockShopee,Indonesia,simulated_experiment,IDR,790000.00,557164.81,24740.62,266,3.40,10,111,draft,2025-06-10T10:00:00+08:00,2026-06-11T21:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0007,SHOP001,Demo Singapore Smart Store,Sandwich Maker Plus 007,CAT007,Kitchen Appliances,Compact non-stick press for quick breakfasts,MockShopee,Singapore,simulated_experiment,SGD,83.29,38.31,6.71,152,3.50,6,16,active,2025-12-08T10:00:00+08:00,2026-06-13T00:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0008,SHOP002,Demo Malaysia Smart Store,Silicone Feeding Set Premium 008,CAT008,Baby Products,Food-grade feeding set with suction base,MockShopee,Malaysia,simulated_experiment,MYR,50.43,30.95,4.08,101,3.33,6,30,active,2025-04-28T14:00:00+08:00,2026-06-14T20:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0009,SHOP003,Demo Philippines Smart Store,Wireless Earbuds Everyday 009,CAT001,Consumer Electronics,"Bluetooth 5.3, low-latency audio and charging case",MockShopee,Philippines,simulated_experiment,PHP,3261.00,2108.89,131.03,214,3.80,15,34,active,2025-08-20T11:00:00+08:00,2026-06-22T00:00:00+08:00,2026-07-01T12:00:00+08:00,true
PROD0010,SHOP004,Demo Thailand Smart Store,Storage Organizer Premium 010,CAT002,Home & Living,Foldable household organizer for compact spaces,MockShopee,Thailand,simulated_experiment,THB,361.00,172.28,21.09,97,2.63,19,37,active,2025-11-09T23:00:00+08:00,2026-06-15T08:00:00+08:00,2026-07-01T12:00:00+08:00,true
